index,latency_ms
1,0.028297000
2,0.014798000
3,0.018824000
4,0.013108000
5,0.020963000
6,0.012133000
7,0.011037000
8,0.010560000
9,0.010385000
10,0.010296000
11,0.010481000
12,0.010405000
13,0.014909000
14,0.010441000
15,0.010337000
16,0.010427000
17,0.011177000
18,0.016515000
19,0.015785000
20,0.013562000
21,0.010307000
22,0.010238000
23,0.010381000
24,0.010261000
25,0.010120000
26,0.010485000
27,0.010515000
28,0.010213000
29,0.010469000
30,0.013684000
31,0.016660000
32,0.015168000
33,0.010278000
34,0.009998000
35,0.010062000
36,0.010025000
37,0.010046000
38,0.009949000
39,0.010032000
40,0.042492000
