index,latency_ms
1,0.022482000
2,0.013707000
3,0.014234000
4,0.012254000
5,0.012153000
6,0.016736000
7,0.017387000
8,0.018324000
9,0.017509000
10,0.018771000
11,0.017883000
12,0.016478000
13,0.019513000
14,0.017914000
15,0.019777000
16,0.018967000
17,0.017404000
18,0.016672000
19,0.017317000
20,0.019803000
21,0.019426000
22,0.020098000
23,0.017617000
24,0.019290000
25,0.018041000
26,0.019102000
27,0.020164000
28,0.019887000
29,0.021160000
30,0.021158000
31,0.020904000
32,0.020412000
33,0.018228000
34,0.017375000
35,0.018241000
36,0.017371000
37,0.011430000
38,0.011710000
39,0.011394000
40,0.022893000
