index,latency_ms
1,0.001162000
2,0.000886000
3,0.002053000
4,0.000656000
5,0.000553000
6,0.000556000
7,0.000488000
8,0.000476000
9,0.000474000
10,0.000492000
11,0.000474000
12,0.000478000
13,0.000475000
14,0.000504000
15,0.000498000
16,0.000477000
17,0.000475000
18,0.000475000
19,0.000495000
20,0.000472000
21,0.000473000
22,0.000477000
23,0.000477000
24,0.000511000
25,0.000478000
26,0.000481000
27,0.000493000
28,0.000476000
29,0.000475000
30,0.000477000
31,0.000477000
32,0.000500000
33,0.000471000
34,0.000494000
35,0.000475000
36,0.000481000
37,0.000479000
38,0.000475000
39,0.000479000
40,0.000475000
