index,latency_ms
1,0.000908000
2,0.000718000
3,0.000746000
4,0.000498000
5,0.000490000
6,0.000458000
7,0.000439000
8,0.000399000
9,0.000421000
10,0.000421000
11,0.000403000
12,0.000398000
13,0.000431000
14,0.000394000
15,0.000403000
16,0.000422000
17,0.000407000
18,0.000398000
19,0.000421000
20,0.000399000
21,0.000402000
22,0.000422000
23,0.000412000
24,0.000403000
25,0.000543000
26,0.000472000
27,0.000411000
28,0.000387000
29,0.000388000
30,0.000401000
31,0.000382000
32,0.000382000
33,0.000386000
34,0.000385000
35,0.000386000
36,0.000384000
37,0.000403000
38,0.000400000
39,0.000401000
40,0.000397000
