index,latency_ms
1,0.011802000
2,0.011223000
3,0.019545000
4,0.012095000
5,0.010927000
6,0.018501000
7,0.014843000
8,0.009768000
9,0.009526000
10,0.009641000
11,0.009588000
12,0.009726000
13,0.009632000
14,0.009734000
15,0.009552000
16,0.009690000
17,0.009590000
18,0.009648000
19,0.009616000
20,0.009495000
21,0.009500000
22,0.009572000
23,0.009548000
24,0.009516000
25,0.009551000
26,0.009617000
27,0.009469000
28,0.009507000
29,0.009671000
30,0.009487000
31,0.009423000
32,0.009452000
33,0.009550000
34,0.009426000
35,0.009640000
