index,latency_ms
1,0.010192000
2,0.010167000
3,0.009306000
4,0.008827000
5,0.008713000
6,0.008805000
7,0.008734000
8,0.008408000
9,0.008388000
10,0.008502000
11,0.008251000
12,0.008185000
13,0.008314000
14,0.008171000
15,0.008335000
16,0.008442000
17,0.008309000
18,0.008377000
19,0.008327000
20,0.008306000
21,0.008752000
22,0.008497000
23,0.008592000
24,0.008669000
25,0.008474000
26,0.008388000
27,0.008495000
28,0.008550000
29,0.008238000
30,0.008186000
31,0.008579000
32,0.008671000
33,0.008859000
34,0.008368000
35,0.008399000
36,0.008409000
37,0.008427000
38,0.008230000
39,0.008389000
40,0.008234000
