index,latency_ms
1,0.000846000
2,0.000622000
3,0.000390000
4,0.000343000
5,0.000324000
6,0.000352000
7,0.000393000
8,0.009645000
9,0.000624000
10,0.000616000
11,0.000530000
12,0.000593000
13,0.000624000
14,0.000657000
15,0.000586000
16,0.000464000
17,0.001632000
18,0.000347000
19,0.000337000
20,0.000356000
21,0.000338000
22,0.000344000
23,0.000347000
24,0.000338000
25,0.000340000
26,0.000340000
27,0.000365000
28,0.000340000
29,0.000361000
30,0.000335000
31,0.000333000
32,0.000359000
33,0.000423000
34,0.000378000
35,0.000352000
36,0.000343000
37,0.000390000
38,0.000345000
39,0.000334000
40,0.000336000
