index,latency_ms
1,0.007509000
2,0.007136000
3,0.007306000
4,0.006903000
5,0.006779000
6,0.006857000
7,0.006871000
8,0.006836000
9,0.006862000
10,0.006658000
11,0.006660000
12,0.006737000
13,0.006622000
14,0.006810000
15,0.006803000
16,0.006866000
17,0.006738000
18,0.006737000
19,0.006631000
20,0.006814000
21,0.006747000
22,0.006601000
23,0.006622000
24,0.006656000
25,0.006643000
26,0.014385000
27,0.012240000
28,0.008557000
29,0.006722000
30,0.006642000
31,0.006686000
32,0.006781000
33,0.006645000
34,0.006518000
35,0.006618000
