index,latency_ms
1,0.000704000
2,0.000477000
3,0.000359000
4,0.000337000
5,0.000482000
6,0.000369000
7,0.000321000
8,0.000282000
9,0.000274000
10,0.000272000
11,0.000294000
12,0.000278000
13,0.000285000
14,0.000266000
15,0.000287000
16,0.000260000
17,0.000265000
18,0.000262000
19,0.000261000
20,0.000320000
21,0.000262000
22,0.000263000
23,0.000275000
24,0.000273000
25,0.000259000
26,0.000262000
27,0.000265000
28,0.000265000
29,0.000258000
30,0.000264000
31,0.000260000
32,0.000290000
33,0.000265000
34,0.000275000
35,0.000268000
36,0.000267000
37,0.000286000
38,0.000282000
39,0.000254000
40,0.000265000
