index,latency_ms
1,0.013986000
2,0.011449000
3,0.014414000
4,0.009957000
5,0.008814000
6,0.008446000
7,0.008082000
8,0.007702000
9,0.007328000
10,0.007120000
11,0.007534000
12,0.007236000
13,0.007379000
14,0.007574000
15,0.006989000
16,0.007117000
17,0.007260000
18,0.007245000
19,0.007167000
20,0.007072000
21,0.006910000
22,0.006954000
23,0.007022000
24,0.006936000
25,0.006985000
26,0.007369000
27,0.007292000
28,0.007050000
29,0.007267000
30,0.007084000
31,0.006974000
32,0.007036000
33,0.006985000
34,0.007084000
35,0.006983000
36,0.007320000
37,0.012841000
38,0.011540000
39,0.007259000
40,0.007126000
