index,latency_ms
1,0.010761000
2,0.068230000
3,0.012071000
4,0.009649000
5,0.008717000
6,0.008780000
7,0.008456000
8,0.008521000
9,0.008433000
10,0.008556000
11,0.008354000
12,0.008274000
13,0.008751000
14,0.008722000
15,0.009114000
16,0.008375000
17,0.008507000
18,0.008251000
19,0.008225000
20,0.008389000
21,0.008156000
22,0.008205000
23,0.008159000
24,0.008139000
25,0.008146000
26,0.008227000
27,0.013207000
28,0.014035000
29,0.008546000
30,0.008176000
31,0.008075000
32,0.008297000
33,0.008125000
34,0.008078000
35,0.008111000
36,0.007981000
37,0.008025000
38,0.008131000
39,0.007988000
40,0.008123000
