index,latency_ms
1,0.000778000
2,0.000793000
3,0.000688000
4,0.000468000
5,0.000307000
6,0.000290000
7,0.000276000
8,0.000302000
9,0.000340000
10,0.000366000
11,0.000308000
12,0.000318000
13,0.000267000
14,0.000290000
15,0.000283000
16,0.000297000
17,0.000271000
18,0.000320000
19,0.000282000
20,0.000299000
21,0.000275000
22,0.000289000
23,0.000277000
24,0.000300000
25,0.000445000
26,0.000334000
27,0.000281000
28,0.000294000
29,0.000280000
30,0.000315000
31,0.000277000
32,0.000290000
33,0.000298000
34,0.000293000
35,0.000280000
36,0.000336000
37,0.000282000
38,0.000296000
39,0.000283000
40,0.000282000
