index,latency_ms
1,0.008742000
2,0.008376000
3,0.014873000
4,0.009165000
5,0.008018000
6,0.007472000
7,0.007499000
8,0.007302000
9,0.007271000
10,0.007190000
11,0.007194000
12,0.007370000
13,0.007119000
14,0.007346000
15,0.007213000
16,0.007264000
17,0.007211000
18,0.007201000
19,0.007126000
20,0.007164000
21,0.007124000
22,0.007119000
23,0.007105000
24,0.007096000
25,0.007086000
26,0.007229000
27,0.007177000
28,0.007222000
29,0.007225000
30,0.007257000
31,0.007075000
32,0.007108000
33,0.007068000
34,0.007164000
35,0.007130000
