index,latency_ms
1,0.010358000
2,0.009670000
3,0.009026000
4,0.008742000
5,0.008314000
6,0.008515000
7,0.008447000
8,0.008544000
9,0.008460000
10,0.008439000
11,0.008267000
12,0.008177000
13,0.008315000
14,0.008205000
15,0.008351000
16,0.008274000
17,0.008169000
18,0.008252000
19,0.008234000
20,0.008146000
21,0.008219000
22,0.008146000
23,0.008230000
24,0.008188000
25,0.008208000
26,0.008318000
27,0.008048000
28,0.008120000
29,0.008111000
30,0.008047000
31,0.008031000
32,0.008104000
33,0.008134000
34,0.008150000
35,0.008065000
36,0.008294000
37,0.014484000
38,0.017790000
39,0.008470000
40,0.009507000
